chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,mfcc,zero_crossing_rate,rms,tempogram,class
0.36084303,937.9456965,916.4173317,1567.252679,-17.143703,0.072777067,0.030843316,0.118833802,1
0.3891163,1230.355141,1490.254118,2368.383768,-11.782977,0.057528132,0.04672706,0.191095693,1
0.28553897,1600.906252,1525.717374,2753.401848,-25.683586,0.120145412,0.018894564,0.129465366,1
0.37564784,1671.010594,1638.309507,3179.298913,-13.24612,0.09532056,0.034093414,0.165813151,1
0.35014522,2364.166554,1914.867329,4114.693265,-17.815176,0.142432888,0.040543616,0.146549323,1
0.34597144,1104.8236,1307.701642,1995.771912,-13.417506,0.05472959,0.034702227,0.150949944,1
0.3211426,1371.493203,1393.724953,2505.253802,-19.460928,0.077426169,0.037464466,0.112914187,1
0.335741,1545.328849,1877.737095,2663.228162,-14.081409,0.079173777,0.023904737,0.200089978,1
0.31577703,1358.614093,1410.913969,2465.111747,-17.279415,0.077950482,0.041865554,0.14012589,1
0.33881155,2121.225878,1682.224661,3776.748344,-16.300646,0.131587132,0.0513998,0.141858469,1
0.41039714,1434.339793,1522.593273,2686.404996,-13.452816,0.073960918,0.036581393,0.166980249,1
0.29880422,1358.736812,1249.589633,2571.561994,-19.308647,0.078745211,0.04381413,0.125752244,1
0.3544669,1351.905055,1292.563743,2336.706012,-18.363886,0.085070985,0.04107412,0.150447571,1
0.37854466,2479.19228,2575.828201,5206.063637,-21.3667,0.1179301,0.030974153,0.224622877,1
0.29881737,1831.226919,1756.203303,3204.204242,-17.171995,0.109931777,0.04102143,0.151362308,1
0.32703206,1815.004396,1889.105501,3583.672193,-15.716067,0.089696842,0.03709631,0.158079696,1
0.285844,1649.527577,1521.776465,2906.523204,-19.047033,0.102583479,0.04724439,0.155537205,1
0.38911244,1126.083464,1278.036211,2096.50547,-9.888445,0.058545431,0.03652774,0.199699189,1
0.37758607,2738.225219,2690.403058,5736.143573,-17.227766,0.119195829,0.026830776,0.135971278,1
0.30853757,1292.698877,1307.094836,2240.290045,-14.841419,0.074211968,0.039923146,0.171698294,1
0.33799002,894.6539084,1098.854223,1567.307473,-14.975629,0.046991162,0.04069581,0.14933763,1
0.37302226,3198.77107,2453.394065,5751.700003,-24.81269,0.248874048,0.03283887,0.072188244,1
0.31544763,1543.142438,1683.602635,2691.895772,-15.947608,0.078108606,0.026560282,0.13023814,1
0.30001402,1544.070509,1478.29572,2820.977037,-20.996138,0.088449447,0.041154504,0.122833949,1
0.31271446,1387.063617,1657.953849,2402.791839,-15.302874,0.08152542,0.0278912,0.130118186,1
0.37013912,1662.585372,1649.886746,3195.041743,-8.709031,0.086217344,0.040637508,0.157440699,1
0.31735438,2824.5376,2658.091993,5439.878233,-16.545729,0.160698715,0.02277535,0.148864382,1
0.39177054,1522.716131,1372.160728,2650.437704,-17.415333,0.101865148,0.03686118,0.130360617,1
0.3867644,1650.986757,1748.573412,3167.735893,-12.345233,0.086422763,0.036276788,0.151104839,1
0.2763815,3007.570314,2375.646128,5429.942535,-17.51224,0.224411175,0.035400935,0.140161536,1
0.39890894,2121.135057,2129.881181,4152.780479,-20.1416,0.113648105,0.03268871,0.128992061,1
0.38569775,1351.672091,1754.413426,2650.661814,-5.7716765,0.061078367,0.04199999,0.19240894,1
0.34751734,3346.767058,2918.804735,6837.330541,-21.982704,0.177369802,0.020052968,0.15216483,1
0.3114935,1997.830198,1784.85349,3737.158095,-20.88136,0.111828058,0.038083304,0.138179385,1
0.32539073,1432.849113,1540.150485,2517.425999,-16.043636,0.083256155,0.039614696,0.117060801,1
0.32403588,1662.564134,1472.328081,3048.213013,-14.6077175,0.098532361,0.04380097,0.156975479,1
0.30597505,1511.522348,1532.277474,2885.218935,-16.239954,0.069863118,0.040706236,0.137590953,1
0.30319023,1420.411432,1455.493948,2617.225336,-18.413322,0.074839194,0.04068963,0.115560431,1
0.37822732,1412.60034,1482.541735,2684.274104,-15.894479,0.074609944,0.04093117,0.151775228,1
0.2829866,2126.327403,2111.280606,4050.393211,-17.397339,0.115328282,0.030689927,0.163396129,1
0.35464224,1244.827464,1284.160264,2367.716568,-12.581134,0.069595425,0.03876299,0.219915195,1
0.28903845,1757.071264,1792.533982,3180.853528,-19.500072,0.098126431,0.045599006,0.135664983,1
0.3516604,1752.77349,1633.053854,3228.410249,-14.853889,0.10599352,0.026596108,0.16358682,1
0.35185444,1496.99998,1459.390316,2829.93966,-11.490031,0.078260792,0.044044707,0.136637566,1
0.29535335,1415.179809,1651.061935,2179.66358,-16.557894,0.079770371,0.043938514,0.182745917,1
0.30678838,1437.356621,1478.323771,2717.379334,-14.229221,0.068084429,0.03840307,0.124738363,1
0.32450518,1533.866802,1515.439917,2903.986039,-16.475573,0.084442021,0.038319036,0.155569165,1
0.38000014,1801.550077,1464.967031,3220.096005,-12.394148,0.111593124,0.03802386,0.153533237,1
0.31925166,1449.263019,1419.981998,2672.940858,-17.714828,0.087910348,0.03323901,0.173302761,1
0.332707,1304.718822,1488.157954,2507.685236,-14.432108,0.060948387,0.04254022,0.125357539,1
0.33020726,1562.814647,1564.911412,2880.546466,-12.468658,0.088605136,0.03580334,0.132378907,1
0.40819192,1599.746073,1742.332845,3025.424929,-13.1972,0.085311675,0.035836976,0.150732156,1
0.31658816,1784.83148,1636.9998,3355.461634,-18.535952,0.108237416,0.046480507,0.142537274,1
0.35377818,3158.978472,2756.852865,6160.950613,-18.755215,0.15621453,0.021029107,0.139510192,1
0.35278666,1393.569853,1509.696566,2368.733329,-15.823492,0.081428907,0.03492934,0.127201922,1
0.3601282,2130.906159,2122.56597,3942.350505,-13.844224,0.101712664,0.032191005,0.131881813,1
0.34971496,1959.755607,1853.628473,3788.355099,-14.204108,0.114686724,0.033499215,0.139833584,1
0.3403805,2444.166222,2185.405178,4862.085873,-16.777655,0.133880888,0.03474386,0.140052275,1
0.328105,1822.953359,1770.306674,3441.971544,-18.889177,0.097178741,0.037851166,0.115404995,1
0.30459428,1537.430775,1781.189425,2691.784213,-15.853369,0.078520407,0.023673084,0.144052302,1
0.30650386,1926.464702,1975.975685,3546.406464,-19.540516,0.096181596,0.025214782,0.130145452,1
0.33159783,1355.267845,1502.092015,2670.913749,-14.5194435,0.066096116,0.043982,0.176786673,1
0.33925,1557.150056,1590.592924,2969.302711,-14.101966,0.07808423,0.04427314,0.133177271,1
0.29538602,1252.376494,1337.127841,2383.176012,-11.876084,0.068123982,0.0448575,0.173249602,1
0.3581109,786.0203224,821.5864314,1296.546958,-16.617395,0.060049249,0.033719726,0.120132792,0
0.3612061,1249.338786,1505.741317,2467.000209,-10.877366,0.058209754,0.05094702,0.202714444,0
0.28357458,1341.177417,1388.344867,2415.89725,-20.14482,0.081952502,0.048570223,0.142537412,0
